,First Rand,Investec Group,MTN Group,Aveng Limited
2011-09-12,2055.0,2715.84765625,13780.0,1431.924560546875
2011-09-13,2084.0,2705.000244140625,13666.0,1430.628662109375
2011-09-14,2072.0,2728.40771484375,13748.0,1450.4986572265625
2011-09-15,2088.0,2762.66259765625,14050.0,1500.6051025390625
2011-09-16,2077.0,2768.371826171875,14110.0,1562.806396484375
2011-09-19,2032.0,2746.106201171875,13952.0,1542.0726318359375
2011-09-20,2025.0,2747.248046875,13951.0,1546.39208984375
2011-09-21,2043.0,2759.80810546875,13715.0,1545.0963134765625
2011-09-22,2006.0,2663.3232421875,13200.0,1479.439453125
2011-09-23,1964.0,2596.526123046875,13050.0,1468.640625
2011-09-26,1965.0,2540.576416015625,13061.0,1503.6287841796875
2011-09-27,2039.0,2611.94091796875,13714.0,1528.68212890625
2011-09-28,2031.0,2587.3916015625,13580.0,1503.6287841796875
2011-09-29,1970.0,2532.0126953125,13076.0,1468.640625
2011-09-30,1960.0,2490.90673828125,13250.0,1490.670166015625
2011-10-03,1979.0,2494.903076171875,13532.0,1498.8773193359375
2011-10-04,1931.0,2414.974853515625,13144.0,1467.7767333984375
2011-10-05,1981.0,2409.265625,13100.0,1457.841796875
2011-10-06,2020.0,2449.80078125,13065.0,1468.640625
2011-10-07,2065.0,2499.470458984375,13140.0,1511.8359375
2011-10-10,1985.0,2579.398681640625,13576.0,1466.4808349609375
2011-10-11,2010.0,2597.66796875,13305.0,1516.1553955078125
2011-10-12,2014.0,2648.4794921875,13524.0,1534.7293701171875
2011-10-13,2004.0,2606.802490234375,13350.0,1544.232421875
2011-10-14,1989.0,2617.64990234375,13120.0,1560.6466064453125
2011-10-17,1996.0,2619.36279296875,13235.0,1529.114013671875
2011-10-18,1960.0,2619.36279296875,13390.0,1513.1318359375
2011-10-19,1925.0,2649.05029296875,13440.0,1520.4749755859375
2011-10-20,1905.0,2654.759521484375,13101.0,1529.5460205078125
2011-10-21,1975.0,2754.09912109375,13294.0,1541.6407470703125
2011-10-24,1939.0,2700.432861328125,13100.0,1556.759033203125
2011-10-25,1990.0,2715.84765625,13250.0,1564.1021728515625
2011-10-26,1951.0,2683.305419921875,13300.0,1549.415771484375
2011-10-27,1974.0,2820.3251953125,13585.0,1571.4454345703125
2011-10-28,1980.0,2797.488525390625,13970.0,1606.8656005859375
2011-10-31,1974.0,2757.5244140625,13852.0,1602.546142578125
2011-11-01,1926.0,2648.4794921875,13594.0,1598.2264404296875
2011-11-02,1955.0,2687.3017578125,13850.0,1613.3448486328125
2011-11-03,1958.0,2650.76318359375,13790.0,1644.445556640625
2011-11-04,1935.0,2608.515380859375,13450.0,1665.1793212890625
2011-11-07,1985.0,2683.876220703125,13825.0,1654.8123779296875
2011-11-08,1984.0,2717.560302734375,13899.0,1663.01953125
2011-11-09,1952.0,2629.639404296875,13560.0,1640.9898681640625
2011-11-10,1956.0,2637.061279296875,13601.0,1597.7945556640625
2011-11-11,1962.0,2664.465087890625,13602.0,1616.36865234375
2011-11-14,1955.0,2667.890625,13700.0,1602.1141357421875
2011-11-15,1981.0,2699.862060546875,13560.0,1602.546142578125
2011-11-16,1988.0,2697.578369140625,13740.0,1602.546142578125
2011-11-17,1982.0,2624.5009765625,13750.0,1594.3388671875
2011-11-18,1935.0,2574.831298828125,13650.0,1574.4691162109375
2011-11-21,1890.0,2504.037841796875,13500.0,1558.48681640625
2011-11-22,1920.0,2514.88525390625,13680.0,1548.98388671875
2011-11-23,1911.0,2478.346435546875,13602.0,1520.4749755859375
2011-11-24,1950.0,2499.470458984375,13795.0,1522.6346435546875
2011-11-25,1930.0,2487.481201171875,13580.0,1514.859619140625
2011-11-28,1990.0,2534.8671875,14120.0,1529.5460205078125
2011-11-29,1931.0,2519.452392578125,13979.0,1513.9957275390625
2011-11-30,2005.0,2653.617919921875,14538.0,1529.5460205078125
2011-12-01,2008.0,2648.4794921875,14400.0,1526.954345703125
2011-12-02,2007.0,2674.170654296875,14374.0,1522.6346435546875
2011-12-05,2057.0,2621.075439453125,14485.0,1522.6346435546875
2011-12-06,2037.0,2591.958740234375,14385.0,1546.39208984375
2011-12-07,2057.0,2595.38427734375,14390.0,1524.7945556640625
2011-12-08,2055.0,2612.51171875,14600.0,1507.516357421875
2011-12-09,2066.0,2594.8134765625,14610.0,1479.439453125
2011-12-12,2030.0,2540.576416015625,14300.0,1467.3447265625
2011-12-13,2048.0,2524.5908203125,14050.0,1457.841796875
2011-12-14,2017.0,2468.64111328125,13850.0,1412.4866943359375
2011-12-15,2076.0,2494.903076171875,13850.0,1382.25
2011-12-16,2076.0,2494.903076171875,13850.0,1382.25
2011-12-19,2050.0,2431.531494140625,13638.0,1386.5694580078125
2011-12-20,2059.0,2434.956787109375,13899.0,1377.930419921875
2011-12-21,2025.0,2442.37890625,13780.0,1412.0546875
2011-12-22,2070.0,2444.66259765625,14000.0,1403.84765625
2011-12-23,2075.0,2453.797119140625,14050.0,1416.80615234375
2011-12-26,2075.0,2453.797119140625,14050.0,1416.80615234375
2011-12-27,2075.0,2453.797119140625,14050.0,1416.80615234375
2011-12-28,2105.0,2436.0986328125,14212.0,1407.7352294921875
2011-12-29,2089.0,2432.102294921875,14300.0,1425.4453125
2011-12-30,2074.0,2429.247802734375,14373.0,1425.4453125
2012-01-02,2074.0,2429.247802734375,14373.0,1425.4453125
2012-01-03,2129.0,2476.6337890625,14393.0,1443.1553955078125
2012-01-04,2105.0,2480.630126953125,13961.0,1455.6820068359375
2012-01-05,2120.0,2437.8115234375,13206.0,1455.6820068359375
2012-01-06,2140.0,2437.8115234375,13625.0,1464.321044921875
2012-01-09,2133.0,2443.520751953125,13565.0,1462.1612548828125
2012-01-10,2135.0,2458.935302734375,13570.0,1461.729248046875
2012-01-11,2135.0,2446.375244140625,13270.0,1468.640625
2012-01-12,2177.0,2471.49560546875,13060.0,1481.5992431640625
2012-01-13,2173.0,2488.623046875,12900.0,1497.1495361328125
2012-01-16,2172.0,2486.910400390625,13300.0,1492.39794921875
2012-01-17,2190.0,2517.73974609375,13470.0,1483.7589111328125
2012-01-18,2235.0,2557.1328125,13503.0,1501.037109375
2012-01-19,2269.0,2615.366455078125,13540.0,1493.69384765625
2012-01-20,2280.0,2675.3125,13489.0,1490.2381591796875
2012-01-23,2285.0,2717.560302734375,13579.0,1483.7589111328125
2012-01-24,2266.0,2666.177978515625,13485.0,1488.0784912109375
2012-01-25,2220.0,2671.88720703125,13500.0,1502.3328857421875
2012-01-26,2241.0,2720.414794921875,13500.0,1513.563720703125
2012-01-27,2264.0,2700.432861328125,13299.0,1512.2679443359375
2012-01-30,2238.0,2638.202880859375,13067.0,1511.8359375
