Time	Open	High	Low	Close	Volume
2019-02-01 04:00:00	78.812	78.977	78.773	78.966	19162
2019-02-01 08:00:00	78.969	79.112	78.903	79.047	28241
2019-02-01 12:00:00	79.048	79.397	79.036	79.373	47760
2019-02-01 16:00:00	79.375	79.604	79.337	79.397	24499
2019-02-01 20:00:00	79.398	79.406	79.331	79.355	6290
2019-02-03 20:00:00	79.36	79.378	79.294	79.322	11774
2019-02-04 00:00:00	79.321	79.459	79.167	79.269	24991
2019-02-04 04:00:00	79.269	79.51	79.229	79.498	20751
2019-02-04 08:00:00	79.5	79.534	79.375	79.398	28539
2019-02-04 12:00:00	79.397	79.478	79.287	79.442	29359
2019-02-04 16:00:00	79.441	79.469	79.273	79.404	20300
2019-02-04 20:00:00	79.404	79.44	79.316	79.323	17624
2019-02-05 00:00:00	79.324	79.773	79.091	79.738	24472
2019-02-05 04:00:00	79.739	79.843	79.683	79.743	18677
2019-02-05 08:00:00	79.744	79.751	79.527	79.688	28086
2019-02-05 12:00:00	79.689	79.71	79.421	79.508	31426
2019-02-05 16:00:00	79.509	79.567	79.448	79.503	20656
2019-02-05 20:00:00	79.502	79.654	79.478	79.622	22141
2019-02-06 00:00:00	79.623	79.656	78.568	78.592	33515
2019-02-06 04:00:00	78.593	78.593	78.233	78.233	24441
2019-02-06 08:00:00	78.235	78.322	78.055	78.252	31368
2019-02-06 12:00:00	78.255	78.358	78.16	78.335	27740
2019-02-06 16:00:00	78.335	78.349	78.169	78.238	23069
2019-02-06 20:00:00	78.238	78.302	78.098	78.203	20695
2019-02-07 00:00:00	78.204	78.245	77.884	78.09	22898
2019-02-07 04:00:00	78.09	78.135	77.984	78.002	18738
2019-02-07 08:00:00	78.002	78.148	77.965	78.04	30285
2019-02-07 12:00:00	78.038	78.138	77.945	78.01	37766
2019-02-07 16:00:00	78.013	78.041	77.748	77.976	29455
2019-02-07 20:00:00	77.976	78.08	77.824	77.861	18215
2019-02-08 00:00:00	77.858	77.97	77.438	77.67	31336
2019-02-08 04:00:00	77.669	77.802	77.58	77.761	20265
2019-02-08 08:00:00	77.759	77.88	77.692	77.757	26646
2019-02-08 12:00:00	77.757	77.979	77.708	77.804	34112
2019-02-08 16:00:00	77.804	77.882	77.718	77.783	19169
2019-02-08 20:00:00	77.783	77.818	77.75	77.769	5396
2019-02-10 20:00:00	77.752	78.081	77.745	77.969	7444
2019-02-11 00:00:00	77.97	78.077	77.915	77.996	21011
2019-02-11 04:00:00	77.997	78.152	77.951	78.049	18905
2019-02-11 08:00:00	78.05	78.15	77.962	77.98	29996
2019-02-11 12:00:00	77.98	78.105	77.902	78	35508
2019-02-11 16:00:00	78	78.05	77.898	77.969	20335
2019-02-11 20:00:00	77.969	78.006	77.899	77.962	15267
2019-02-12 00:00:00	77.963	78.313	77.927	78.309	38077
2019-02-12 04:00:00	78.308	78.353	78.14	78.336	23249
2019-02-12 08:00:00	78.335	78.354	78.215	78.312	23535
2019-02-12 12:00:00	78.315	78.359	78.255	78.342	28575
2019-02-12 16:00:00	78.343	78.475	78.295	78.448	22430
2019-02-12 20:00:00	78.447	78.531	78.33	78.501	16213
2019-02-13 00:00:00	78.503	78.925	78.396	78.899	35562
2019-02-13 04:00:00	78.898	78.945	78.783	78.821	20719
2019-02-13 08:00:00	78.82	78.858	78.691	78.747	24493
2019-02-13 12:00:00	78.746	78.905	78.693	78.861	33966
2019-02-13 16:00:00	78.861	78.906	78.708	78.745	19634
2019-02-13 20:00:00	78.746	78.76	78.614	78.663	13416
2019-02-14 00:00:00	78.664	79.119	78.558	79.073	31117
2019-02-14 04:00:00	79.073	79.239	78.982	79.181	24363
2019-02-14 08:00:00	79.181	79.195	78.807	78.881	28668
2019-02-14 12:00:00	78.881	78.968	78.242	78.547	53665
2019-02-14 16:00:00	78.551	78.616	78.445	78.494	28177
2019-02-14 20:00:00	78.498	78.578	78.422	78.526	20494
2019-02-15 00:00:00	78.526	78.531	78.095	78.213	29212
2019-02-15 04:00:00	78.214	78.354	78.129	78.167	22416
2019-02-15 08:00:00	78.168	78.569	78.118	78.488	25183
2019-02-15 12:00:00	78.491	78.744	78.488	78.689	44513
2019-02-15 16:00:00	78.692	78.936	78.634	78.863	25496
2019-02-15 20:00:00	78.862	78.877	78.809	78.855	7493
2019-02-17 20:00:00	78.782	79.014	78.782	79.002	8658
2019-02-18 00:00:00	79.004	79.146	78.931	79.061	29114
2019-02-18 04:00:00	79.06	79.122	78.966	79.042	21778
2019-02-18 08:00:00	79.042	79.131	78.993	79.114	19404
2019-02-18 12:00:00	79.115	79.192	78.904	78.921	17726
2019-02-18 16:00:00	78.921	78.921	78.774	78.858	21376
2019-02-18 20:00:00	78.859	78.906	78.793	78.865	27766
2019-02-19 00:00:00	78.867	79.025	78.514	78.546	25022
2019-02-19 04:00:00	78.543	78.829	78.516	78.751	19727
2019-02-19 08:00:00	78.751	78.882	78.673	78.726	28633
2019-02-19 12:00:00	78.725	78.981	78.671	78.953	33325
2019-02-19 16:00:00	78.953	79.333	78.926	79.326	29136
2019-02-19 20:00:00	79.327	79.354	79.177	79.255	17171
2019-02-20 00:00:00	79.255	79.573	79.125	79.349	30684
2019-02-20 04:00:00	79.349	79.51	79.309	79.444	20076
2019-02-20 08:00:00	79.443	79.512	79.202	79.252	26134
2019-02-20 12:00:00	79.252	79.507	79.128	79.367	35103
2019-02-20 16:00:00	79.366	79.532	79.309	79.5	34604
2019-02-20 20:00:00	79.5	79.504	79.34	79.391	17843
2019-02-21 00:00:00	79.392	79.817	79.005	79.394	41346
2019-02-21 04:00:00	79.394	79.417	78.438	78.765	34551
2019-02-21 08:00:00	78.765	78.859	78.577	78.77	34253
2019-02-21 12:00:00	78.769	78.816	78.41	78.465	43487
2019-02-21 16:00:00	78.464	78.466	78.333	78.343	27362
2019-02-21 20:00:00	78.341	78.748	78.336	78.689	19616
2019-02-22 00:00:00	78.691	78.748	78.424	78.56	31018
2019-02-22 04:00:00	78.563	78.82	78.53	78.815	25467
2019-02-22 08:00:00	78.815	78.9	78.719	78.859	25119
2019-02-22 12:00:00	78.859	79.046	78.791	79.023	41361
2019-02-22 16:00:00	79.026	79.096	78.861	78.964	30606
2019-02-22 20:00:00	78.964	78.986	78.86	78.873	9636
2019-02-24 20:00:00	78.962	79.292	78.919	79.281	12242
2019-02-25 00:00:00	79.28	79.375	78.909	79.042	27639
2019-02-25 04:00:00	79.04	79.2	79.015	79.182	22099
2019-02-25 08:00:00	79.183	79.53	79.125	79.444	26207
2019-02-25 12:00:00	79.441	79.611	79.369	79.518	32504
2019-02-25 16:00:00	79.517	79.776	79.45	79.743	29899
2019-02-25 20:00:00	79.742	79.747	79.547	79.637	26750
2019-02-26 00:00:00	79.636	79.664	79.216	79.333	31144
2019-02-26 04:00:00	79.332	79.37	79.249	79.306	29596
2019-02-26 08:00:00	79.307	79.338	79.167	79.263	25815
2019-02-26 12:00:00	79.262	79.47	79.183	79.444	37132
2019-02-26 16:00:00	79.445	79.556	79.346	79.486	28168
2019-02-26 20:00:00	79.487	79.571	79.367	79.522	13114
